Date : 2023-03-15 18:34:00
Directory : c:\xampp\htdocs\Projects\GalacOSTheBest
Total : 209 files,  19845 codes, 6031 comments, 4839 blanks, all 30715 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| kernel (Files)                                                                         |          5 |        130 |          0 |         28 |        158 |
| kernel\.idea                                                                           |          2 |         20 |          0 |          0 |         20 |
| kernel\src                                                                             |         49 |      1,615 |         19 |        321 |      1,955 |
| kernel\src (Files)                                                                     |         26 |        893 |          6 |        173 |      1,072 |
| kernel\src\drivers                                                                     |          2 |         44 |          3 |         11 |         58 |
| kernel\src\gdt                                                                         |          3 |         51 |          0 |          7 |         58 |
| kernel\src\interrupts                                                                  |          4 |        112 |          0 |         30 |        142 |
| kernel\src\paging                                                                      |          8 |        277 |          0 |         48 |        325 |
| kernel\src\userinput                                                                   |          6 |        238 |         10 |         52 |        300 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                               | language     | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\xampp\htdocs\Projects\GalacOSTheBest\README.md                                      | Markdown     |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\Makefile                               | Makefile     |         74 |         38 |         18 |        130 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\AllocPages.c                      | C            |         77 |         87 |         21 |        185 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\FreePages.c                       | C            |         63 |         61 |         22 |        146 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\Makefile                          | Makefile     |         40 |         35 |         21 |         96 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\bltgrid.c                         | C            |        107 |          4 |         21 |        132 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\debughook.c                       | C            |         80 |          1 |         17 |         98 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\drv0.c                            | C            |         76 |         95 |         21 |        192 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\drv0.h                            | C++          |         26 |          1 |          9 |         36 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\drv0_use.c                        | C            |         58 |          5 |         17 |         80 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\exit.c                            | C            |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\lfbgrid.c                         | C            |        147 |          0 |         24 |        171 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\modelist.c                        | C            |         95 |          0 |         14 |        109 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\printenv.c                        | C            |         26 |          0 |          7 |         33 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\route80h.c                        | C            |        112 |          3 |         22 |        137 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\setdbg.c                          | C            |         31 |          0 |          7 |         38 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\setjmp.c                          | C            |         26 |          0 |          7 |         33 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\t.c                               | C            |         22 |          0 |          6 |         28 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\t2.c                              | C            |         11 |          0 |          4 |         15 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\t3.c                              | C            |         68 |          7 |         21 |         96 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\t4.c                              | C            |         12 |          0 |          3 |         15 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\t5.c                              | C            |         12 |          0 |          2 |         14 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\t6.c                              | C            |         36 |          0 |          8 |         44 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\t7.c                              | C            |         17 |          0 |          9 |         26 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\t8.c                              | C            |         15 |          0 |          5 |         20 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\tcc.c                             | C            |        377 |          3 |         52 |        432 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\tpause.c                          | C            |          7 |          0 |          3 |         10 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\apps\unsetdbg.c                        | C            |         31 |          0 |          7 |         38 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\bootloader\Makefile                    | Makefile     |         37 |         35 |         22 |         94 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\bootloader\main.c                      | C            |        217 |          1 |         50 |        268 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\Makefile                        | Makefile     |         27 |         36 |         15 |         78 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\elf_aarch64_efi.lds             | LinkerScript |         58 |          2 |          4 |         64 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\elf_arm_efi.lds                 | LinkerScript |         58 |          2 |          4 |         64 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\elf_ia32_efi.lds                | LinkerScript |         82 |          3 |          2 |         87 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\elf_ia32_fbsd_efi.lds           | LinkerScript |         82 |          3 |          2 |         87 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\elf_ia64_efi.lds                | LinkerScript |         77 |          3 |          2 |         82 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\elf_mips64el_efi.lds            | LinkerScript |         59 |          2 |          4 |         65 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\elf_x86_64_efi.lds              | LinkerScript |         71 |          4 |          2 |         77 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\elf_x86_64_fbsd_efi.lds         | LinkerScript |         65 |          4 |          2 |         71 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\reloc_aarch64.c                 | C            |         49 |         36 |         13 |         98 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\reloc_arm.c                     | C            |         49 |         36 |         13 |         98 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\reloc_ia32.c                    | C            |         51 |         35 |         14 |        100 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\reloc_mips64el.c                | C            |         62 |         38 |         16 |        116 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\gnuefi\reloc_x86_64.c                  | C            |         49 |         37 |         13 |         99 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\Makefile                           | Makefile     |         19 |          0 |          9 |         28 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\aarch64\efibind.h                  | C++          |         82 |         43 |         34 |        159 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\aarch64\efilibplat.h               | C++          |          5 |         18 |          3 |         26 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\aarch64\efisetjmp_arch.h           | C++          |         27 |          2 |          5 |         34 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\arm\efibind.h                      | C++          |         85 |         47 |         35 |        167 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\arm\efilibplat.h                   | C++          |          5 |         18 |          3 |         26 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\arm\efisetjmp_arch.h               | C++          |         18 |          0 |          4 |         22 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efi.h                              | C++          |         29 |         24 |          9 |         62 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efi_nii.h                          | C++          |         22 |         43 |         14 |         79 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efi_pxe.h                          | C++          |        551 |        855 |        338 |      1,744 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efiapi.h                           | C++          |        643 |        142 |        183 |        968 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\eficompiler.h                      | C++          |         13 |         14 |          4 |         31 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\eficon.h                           | C++          |        211 |         43 |         53 |        307 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efidebug.h                         | C++          |        519 |         42 |         60 |        621 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efidef.h                           | C++          |        127 |         54 |         40 |        221 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efidevp.h                          | C++          |        400 |         86 |         97 |        583 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efierr.h                           | C++          |         42 |         18 |          9 |         69 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efifs.h                            | C++          |         54 |         38 |         25 |        117 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efigpt.h                           | C++          |         39 |         19 |         11 |         69 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efiip.h                            | C++          |        385 |         19 |         56 |        460 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efilib.h                           | C++          |        838 |         40 |        160 |      1,038 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efilink.h                          | C++          |         79 |         70 |         29 |        178 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efinet.h                           | C++          |        188 |        100 |         61 |        349 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efipart.h                          | C++          |         31 |         20 |         11 |         62 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efipciio.h                         | C++          |        350 |          4 |         46 |        400 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efipoint.h                         | C++          |         78 |         20 |         18 |        116 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efiprot.h                          | C++          |        965 |        195 |        265 |      1,425 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efipxebc.h                         | C++          |        351 |         69 |         63 |        483 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efirtlib.h                         | C++          |        131 |         21 |         28 |        180 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efiser.h                           | C++          |         96 |         19 |         22 |        137 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efisetjmp.h                        | C++          |          7 |          0 |          4 |         11 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efishellintf.h                     | C++          |         30 |         52 |         13 |         95 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efishellparm.h                     | C++          |         15 |         38 |         11 |         64 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efistdarg.h                        | C++          |         12 |         17 |          5 |         34 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efitcp.h                           | C++          |        328 |          8 |         56 |        392 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efiudp.h                           | C++          |        230 |          4 |         39 |        273 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\efiui.h                            | C++          |         23 |         26 |         10 |         59 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\ia32\efibind.h                     | C++          |        176 |         63 |         53 |        292 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\ia32\efilibplat.h                  | C++          |          5 |         18 |          4 |         27 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\ia32\efisetjmp_arch.h              | C++          |         12 |          0 |          4 |         16 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\ia32\pe.h                          | C++          |        419 |         85 |         92 |        596 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\ia64\efibind.h                     | C++          |        127 |         69 |         38 |        234 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\ia64\efilibplat.h                  | C++          |         50 |         17 |         14 |         81 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\ia64\efisetjmp_arch.h              | C++          |         44 |          0 |          4 |         48 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\ia64\pe.h                          | C++          |        426 |         84 |         92 |        602 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\ia64\salproc.h                     | C++          |        198 |         28 |         39 |        265 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\inc.mak                            | Makefile     |         21 |          0 |          3 |         24 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\libsmbios.h                        | C++          |        104 |         25 |         15 |        144 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\mips64el\efibind.h                 | C++          |         86 |         44 |         37 |        167 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\mips64el\efilibplat.h              | C++          |          5 |         18 |          3 |         26 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\mips64el\efisetjmp_arch.h          | C++          |         28 |          2 |          5 |         35 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\pci22.h                            | C++          |        139 |         20 |         35 |        194 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\protocol\adapterdebug.h            | C++          |          5 |         22 |          6 |         33 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\protocol\eficonsplit.h             | C++          |          9 |         16 |          8 |         33 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\protocol\efidbg.h                  | C++          |        120 |         51 |         40 |        211 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\protocol\efivar.h                  | C++          |         51 |         61 |         22 |        134 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\protocol\ia64\eficontext.h         | C++          |        137 |         49 |         23 |        209 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\protocol\intload.h                 | C++          |          5 |         18 |          5 |         28 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\protocol\legacyboot.h              | C++          |         61 |         41 |         18 |        120 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\protocol\piflash64.h               | C++          |         54 |         51 |         17 |        122 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\protocol\vgaclass.h                | C++          |         41 |         37 |         18 |         96 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\romload.h                          | C++          |         39 |          0 |          3 |         42 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\x86_64\efibind.h                   | C++          |        262 |         72 |         59 |        393 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\x86_64\efilibplat.h                | C++          |          5 |         18 |          4 |         27 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\x86_64\efisetjmp_arch.h            | C++          |         18 |          0 |          5 |         23 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\inc\x86_64\pe.h                        | C++          |        419 |         85 |         92 |        596 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\Makefile                           | Makefile     |         38 |         35 |         21 |         94 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\aarch64\initplat.c                 | C            |          8 |         16 |          3 |         27 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\aarch64\math.c                     | C            |         36 |         21 |          7 |         64 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\arm\edk2asm.h                      | C++          |          4 |          0 |          3 |          7 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\arm\initplat.c                     | C            |         14 |         17 |          4 |         35 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\arm\math.c                         | C            |         36 |         25 |          7 |         68 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\boxdraw.c                          | C            |        101 |         53 |         20 |        174 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\cmdline.c                          | C            |         88 |         20 |         14 |        122 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\console.c                          | C            |         69 |         19 |         17 |        105 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\crc.c                              | C            |        113 |         84 |         22 |        219 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\data.c                             | C            |         94 |         72 |         39 |        205 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\debug.c                            | C            |         12 |         23 |          9 |         44 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\dpath.c                            | C            |        890 |        165 |        208 |      1,263 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\error.c                            | C            |         58 |         17 |          9 |         84 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\event.c                            | C            |         87 |         41 |         27 |        155 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\exit.c                             | C            |         16 |          1 |          3 |         20 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\guid.c                             | C            |        106 |         44 |         30 |        180 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\hand.c                             | C            |        370 |        131 |        136 |        637 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\hw.c                               | C            |         75 |         40 |         18 |        133 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\ia32\initplat.c                    | C            |          8 |         16 |          4 |         28 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\ia32\math.c                        | C            |        142 |         30 |         28 |        200 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\ia64\initplat.c                    | C            |         11 |         16 |          4 |         31 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\ia64\math.c                        | C            |         46 |         27 |         16 |         89 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\ia64\palproc.h                     | C++          |         23 |         18 |         11 |         52 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\ia64\salpal.c                      | C            |        213 |         83 |         40 |        336 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\init.c                             | C            |        112 |         65 |         38 |        215 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\lib.h                              | C++          |         53 |         26 |         14 |         93 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\lock.c                             | C            |         25 |         74 |          9 |        108 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\mips64el\initplat.c                | C            |          8 |         16 |          3 |         27 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\mips64el\math.c                    | C            |         36 |         21 |          7 |         64 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\misc.c                             | C            |        381 |        101 |         82 |        564 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\print.c                            | C            |        885 |        375 |        223 |      1,483 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\runtime\efirtlib.c                 | C            |         94 |         35 |         17 |        146 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\runtime\rtdata.c                   | C            |         10 |         40 |         16 |         66 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\runtime\rtlock.c                   | C            |         45 |         49 |          9 |        103 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\runtime\rtstr.c                    | C            |        182 |         24 |         26 |        232 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\runtime\vm.c                       | C            |         47 |         40 |         19 |        106 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\smbios.c                           | C            |         59 |         61 |         16 |        136 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\sread.c                            | C            |        182 |        104 |         73 |        359 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\str.c                              | C            |        328 |         43 |         62 |        433 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\x86_64\callwrap.c                  | C            |          0 |         39 |          2 |         41 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\x86_64\initplat.c                  | C            |          8 |         16 |          4 |         28 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\gnu-efi\lib\x86_64\math.c                      | C            |        124 |         30 |         28 |        182 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\.idea\misc.xml                          | XML          |         14 |          0 |          0 |         14 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\.idea\vcs.xml                           | XML          |          6 |          0 |          0 |          6 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\Makefile                                | Makefile     |         55 |          0 |         14 |         69 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\kernel.ld                               | LinkerScript |         24 |          0 |          1 |         25 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\run.bat                                 | Batch        |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\run2.bat                                | Batch        |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\serial.log                              | Log          |         40 |          0 |         11 |         51 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\BasicRenderer.cpp                   | C++          |        129 |          4 |         32 |        165 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\BasicRenderer.h                     | C++          |         28 |          0 |          4 |         32 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\FrameBuffer.h                       | C++          |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\acpi.cpp                            | C++          |         17 |          0 |          5 |         22 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\acpi.h                              | C++          |         38 |          0 |          6 |         44 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\bitmap.cpp                          | C++          |         22 |          0 |          4 |         26 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\bitmap.h                            | C++          |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\cstr.cpp                            | C++          |        139 |          0 |         19 |        158 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\cstr.h                              | C++          |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\drivers\serial.cpp                  | C++          |         34 |          3 |         10 |         47 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\drivers\serial.h                    | C++          |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\Projects\GalacOSTheBest\kernel\src\efiMemory.cpp                       | C++          |         17 |          0 |          1 |         18 |
